,Name,Rating,Specials,Delivery time,Cost,Coupons
174,The Sassy Spoon,4.4,"Italian, Asian, American",42 MINS,₹2000 FOR TWO,50% off | Use WELCOME50
175,Tibb's Frankie,4.4,"Fast Food, Snacks, North Indian, Mexican, Beverages",36 MINS,₹200 FOR TWO,50% off | Use WELCOME50
176,99 Pancakes,4.4,French,39 MINS,₹300 FOR TWO,50% off | Use WELCOME50
177,Sweet Bengal,4.4,"Sweets, Indian, Snacks, Desserts",34 MINS,₹150 FOR TWO,50% off | Use WELCOME50
178,Gaurav Sweets and Namkeen,4.4,"Snacks, Sweets, Chaat",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
179,Sassy Teaspoon,4.4,"Desserts, Bakery",34 MINS,₹800 FOR TWO,50% off | Use WELCOME50
180,The J,4.4,Fast Food,36 MINS,₹320 FOR TWO,50% off | Use WELCOME50
181,Mad Over Donuts,4.4,"Desserts, Sweets, Bakery",33 MINS,₹200 FOR TWO,50% off | Use WELCOME50
182,Baskin Robbins,4.4,"Desserts, Ice Cream",31 MINS,₹250 FOR TWO,50% off | Use WELCOME50
183,Poetry By Love & Cheesecake,4.4,"Desserts, Bakery",35 MINS,₹800 FOR TWO,50% off | Use WELCOME50
184,Brijwasi Sweets Original Since 1946,4.4,"Street Food, Desserts",38 MINS,₹150 FOR TWO,50% off | Use WELCOME50
185,What The Fries,4.3,Fast Food,62 MINS,₹250 FOR TWO,50% off | Use WELCOME50
186,Blisss,4.3,"Desserts, Bakery",54 MINS,₹300 FOR TWO,50% off | Use WELCOME50
187,Maharana Kamath,4.3,"Street Food, North Indian, Chinese, Gujarati, South Indian, Beverages",59 MINS,₹300 FOR TWO,50% off | Use WELCOME50
188,Vaishali Garden Restaurant,4.3,"South Indian, Indian, North Indian, Chinese, Biryani, Tandoor",58 MINS,₹600 FOR TWO,50% off | Use WELCOME50
189,Manis Cafe,4.3,South Indian,56 MINS,₹200 FOR TWO,50% off | Use WELCOME50
190,Cafe Udipi,4.3,"Street Food, North Indian, Chinese, South Indian",57 MINS,₹500 FOR TWO,50% off | Use WELCOME50
191,Goodness To Go,4.3,"Salads, European, Italian, Juices, Bakery, Desserts, Combo",63 MINS,₹350 FOR TWO,50% off | Use WELCOME50
192,230 Celsius,4.3,"Italian, Continental",63 MINS,₹400 FOR TWO,50% off | Use WELCOME50
193,One By Two,4.3,Chinese,51 MINS,₹100 FOR TWO,50% off | Use WELCOME50
194,Dragon Food Court,4.3,Chinese,56 MINS,₹400 FOR TWO,50% off | Use WELCOME50
195,Krishna Sagar,4.3,"North Indian, Chinese, Mangalorean, South Indian",58 MINS,₹500 FOR TWO,50% off | Use WELCOME50
196,Fabcafe by Fabindia,4.3,"North Indian, Healthy Food, Biryani, Beverages",63 MINS,₹800 FOR TWO,50% off | Use WELCOME50
197,Sagar Bar & Restaurant,4.3,"Indian, Chinese",52 MINS,₹500 FOR TWO,50% off | Use WELCOME50
198,New Laxmi Fish & Kabab Corner,4.3,"Mughlai, Maharashtrian, Biryani, Indian",51 MINS,₹350 FOR TWO,50% off | Use WELCOME50
199,Sarvodaya Pure Veg,4.3,"North Indian, Chinese, South Indian, Tandoor, Continental, Fast Food, Beverages",58 MINS,₹350 FOR TWO,50% off | Use WELCOME50
200,HARE RAMA HARE KRISHNA VEG RESTAURANT,4.3,Indian,52 MINS,₹400 FOR TWO,50% off | Use WELCOME50
201,Madras cafe,4.3,"South Indian, North Indian, Chinese",49 MINS,₹400 FOR TWO,50% off | Use WELCOME50
202,Granville Greens,4.3,"South Indian, Chinese, Italian, Fast Food, Mexican, North Indian",53 MINS,₹400 FOR TWO,50% off | Use WELCOME50
203,PANSHIKAR TASTEAURANT,4.3,"Street Food, Snacks",53 MINS,₹300 FOR TWO,50% off | Use WELCOME50
204,YouMee,4.3,"Japanese, Asian",64 MINS,₹600 FOR TWO,50% off | Use WELCOME50
205,Lalta Pav Bhaji (Vikrant Circle),4.3,"Chinese, Beverages, Juices",52 MINS,₹200 FOR TWO,50% off | Use WELCOME50
206,Street Foods By Punjab Grill,4.3,"North Indian, Chaat, Biryani, Punjabi, Kebabs, Mughlai, Desserts",56 MINS,₹350 FOR TWO,50% off | Use WELCOME50
207,Lalta Pav Bhaji (Tilak Road),4.3,"Beverages, Juices",53 MINS,₹250 FOR TWO,50% off | Use WELCOME50
208,Shree GuruKrupa (Tilak Road),4.3,"North Indian, Chinese",51 MINS,₹600 FOR TWO,50% off | Use WELCOME50
209,Pizzas Etc,4.3,"Pizzas, Pastas, Burgers, Italian, Jain, Beverages",51 MINS,₹600 FOR TWO,50% off | Use WELCOME50
210,Half Plate - Half Price - Pure Veg,4.3,"North Indian, Thalis",55 MINS,₹300 FOR TWO,50% off | Use WELCOME50
211,Flavours by ITC Hotels,4.3,"Indian, Italian, American",72 MINS,₹1500 FOR TWO,50% off | Use WELCOME50
212,Dessert Junction,4.3,Desserts,50 MINS,₹200 FOR TWO,50% off | Use WELCOME50
213,Tru Falafel,4.3,"Lebanese, Middle Eastern, Healthy Food, Mediterranean, Arabian",51 MINS,₹600 FOR TWO,50% off | Use WELCOME50
214,Konkan Katta,4.3,"Maharashtrian, Malwani, Seafood",58 MINS,₹400 FOR TWO,50% off | Use WELCOME50
215,Third Wave Coffee,4.3,"Beverages, Desserts",51 MINS,₹400 FOR TWO,50% off | Use WELCOME50
216,Shaikh Shawarma and Grill,4.3,"Mughlai, Lebanese",55 MINS,₹300 FOR TWO,50% off | Use WELCOME50
217,Alice in Gelatoland,4.3,"Desserts, Ice Cream, Beverages",49 MINS,₹200 FOR TWO,50% off | Use WELCOME50
218,Dil Ki Meal,4.3,"North Indian, Mughlai, Desserts, Beverages",55 MINS,₹300 FOR TWO,50% off | Use WELCOME50
219,Vihara- International by Tunga,4.3,"Indian, South Indian, Beverages",55 MINS,₹450 FOR TWO,50% off | Use WELCOME50
220,Vedha,4.3,"North Indian, Chinese, Tandoor, Thalis, Salads",47 MINS,₹399 FOR TWO,50% off | Use WELCOME50
221,Cafe Vikhroli,4.3,"North Indian, Indian, Beverages, Biryani",49 MINS,₹299 FOR TWO,50% off | Use WELCOME50
222,Orange Cakes and Bakers,4.3,"Bakery, Desserts",45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
223,British Brewing Company (BBCo),4.3,"Italian, American, Indian, Asian",49 MINS,₹850 FOR TWO,50% off | Use WELCOME50
224,Nino Burgers,4.3,American,44 MINS,₹600 FOR TWO,50% off | Use WELCOME50
225,McDonald's Gourmet Burger Collection,4.3,"Burgers, Beverages, Cafe, Desserts",46 MINS,₹600 FOR TWO,50% off | Use WELCOME50
226,Narayan Sandwich House,4.3,"Healthy Food, Snacks",50 MINS,₹250 FOR TWO,50% off | Use WELCOME50
